amfi_code,scheme_name,category,sub_category,cagr_5yr,cagr_3yr,cagr_1yr,volatility_ann,sharpe_ratio,sortino_ratio,alpha_ann,beta,r_squared,max_drawdown,var_95_pct,cvar_95_pct
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,0.17149890631556253,0.2856016945105937,0.32866720944614225,0.11636541830220329,0.9581790530413226,0.8507868328042418,0.0,1.0,0.0,-0.1501238549864533,1.1826841635318985,1.5229577496502082
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,0.1438678637517985,0.05163223794670091,0.12747554639452074,0.11798750618901818,0.710819869499069,0.6285920891404229,0.0,1.0,0.0,-0.11803493502764295,1.2129038937142642,1.6078207856022269
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,0.213657461839863,0.1893418846260404,0.39919172191468943,0.21273031336024348,0.7223110774046346,0.6407535685432822,0.0,1.0,0.0,-0.2870600572176455,2.1501921496768976,2.844427140601086
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,0.014121082585902611,-0.0345659533931818,0.22954094840900252,0.2109507450893358,-0.2174863966214865,-0.18368222168090328,0.0,1.0,0.0,-0.5257422117012851,2.315543346345327,3.0162858545493423
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,0.04024604903168005,0.029452095372302534,0.021872572751472363,0.03357814142204654,-0.588297926321497,-0.5191617569618422,0.0,1.0,0.0,-0.04328728923970093,0.3428846226904114,0.4618214851480345
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,0.018109279027315184,-0.017959562001467755,-0.04337448852424031,0.1230042952202974,-0.34056307462808233,-0.29789126589108916,0.0,1.0,0.0,-0.24734440880673303,1.2883548931908695,1.6768321461436162
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,0.1275481883949634,0.1492634581454797,0.2959273093332675,0.12412510324744544,0.5441944185964138,0.47878323996347383,0.0,1.0,0.0,-0.15200013055606398,1.250186045702889,1.696448520682221
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,0.19908107609699743,0.24407712694865258,0.35724198361105297,0.16029119278668055,0.8676775915074133,0.7632511025342745,0.0,1.0,0.0,-0.16217208574644848,1.690162517076692,2.1849843397164253
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,0.07662321107779269,0.11287915126370995,0.3982593939501913,0.1552019281708006,0.10710698812645388,0.09106865569738291,0.0,1.0,0.0,-0.21117279560132118,1.676236356598184,2.148383217515083
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,0.030531056137846457,0.04110461286570177,0.02691255994614905,0.03304017152036813,-0.8919125569304914,-0.7815644316318977,0.0,1.0,0.0,-0.04308263824636349,0.3337613149587215,0.45806565073636163
